"model","method","S","diff","alpha","volscl","optmized_value","convergence","C0","beta","q10_rh"
"conc_MPI-ESM-MR","conc_temp-heatfluxRange",3.89195258667878,4.3544000513625,1.77209088588674,1.20986973493064,0.513085203415686,0,NA,NA,NA
"conc_MRI-CGCM3","conc_temp-heatfluxRange",3.0748169305766,8.943109248615,1.62540099344053,1.25353567487078,0.421803242688551,0,NA,NA,NA
"conc_NorESM1-ME","conc_temp-heatfluxRange",3.60861904125508,6.22834598217925,1.77272690883815,0.481045655593573,0.46825619443774,0,NA,NA,NA
"conc_ACCESS1-0","conc_temp",2.462379801638,0.229340873483469,2.21214706800791,0.699449067269853,0.135802818273809,0,NA,NA,NA
"conc_ACCESS1-3","conc_temp",6.70645442481202,8.85318026682816,1.94756199775369,1.54380184479166,0.129031237981175,0,NA,NA,NA
"conc_CanESM2","conc_temp",2.71428325753502,3.49221818334856e-13,1.93019517840943,0.597486620472338,0.155566437434271,0,NA,NA,NA
"conc_CCSM4","conc_temp",2.25639895532482,2.31193887882101e-12,1.36937049966337,0.334668833372716,0.162485641368672,0,NA,NA,NA
"conc_CESM1-BGC","conc_temp",2.10301265023278,9.81563400971581e-15,1.23135362510459,0.406475589241478,0.12387970939483,0,NA,NA,NA
"conc_CESM1-CAM5","conc_temp",3.41085352499742,1.41781669290077,1.99780736224606,0.791141655627575,0.0785583309369307,0,NA,NA,NA
"conc_CESM1-WACCM","conc_temp",1.92203559150494,1.63136371423181e-12,1.07579228152735,0.167950649142069,0.0532512893493782,0,NA,NA,NA
"conc_CMCC-CESM","conc_temp",1.8900891290454,2.62567363830936e-12,2.44405282914626,0.06459466286366,0.313371892518275,0,NA,NA,NA
"conc_CMCC-CM","conc_temp",2.78317794120178,0.785743335021201,1.80455630744135,-0.35769284661002,0.0948321988452378,0,NA,NA,NA
"conc_CMCC-CMS","conc_temp",2.83535818825216,0.681153066595582,1.82693022059315,-0.140837039445937,0.102042515492629,0,NA,NA,NA
"conc_CNRM-CM5","conc_temp",5.10996826747008,9.98634636273924,1.27398617415286,1.28279666815863,0.0840068218063999,0,NA,NA,NA
"conc_CSIRO-Mk3-6-0","conc_temp",11.3730461938791,13.9460574446664,1.57417626674095,2.18332514163519,0.0736136653223329,0,NA,NA,NA
