"driven","model","sym_method","S","alpha","volscl","optmized_value","convergence","diff","C0","q10_rh","beta"
"conc","GFDL-CM3","conc_clim_tempHF",5.15815384488138,2.12742593583924,1.16102293628289,0.48870552246585,0,2.8,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",4.97376859286496,2.05634927255564,1.21044351097171,0.489338255843102,0,3.35,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",4.74085934153557,1.98219090984336,1.25069555418849,0.494506661578388,0,3.9,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",4.52056990534282,1.91063923729516,1.28596810543667,0.502155170153371,0,4.45,NA,NA,NA
"conc","GFDL-CM3","conc_clim_tempHF",4.32279280974747,1.84273761389531,1.31833049723166,0.511062000011177,0,5,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.37280885129288,2.34800851743464,0.464224208269927,0.686773408336453,0,0.05,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",3.05415209979708,2.33677227209974,0.663289381524121,0.275789191094033,0,0.6,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",3.03093152860437,2.21010818210055,0.752021710254559,0.170037800486386,0,1.15,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.90952804761545,2.09001465052712,0.814123020448421,0.125218372838992,0,1.7,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.77326916685401,1.98029891581821,0.86320109438205,0.10347475376975,0,2.25,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.64273536550547,1.8801145089567,0.906038408945011,0.0925284786461158,0,2.8,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.52279152467544,1.78785527792711,0.944521548463209,0.087270508555034,0,3.35,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.41448214118058,1.70215135926321,0.9798587806793,0.0852433572188608,0,3.9,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.31683501780455,1.6224887842626,1.01247640700102,0.0851443772512084,0,4.45,NA,NA,NA
"conc","MRI-CGCM3","conc_clim_tempHF",2.2286899146587,1.54797138380158,1.04324305313572,0.0862330134443538,0,5,NA,NA,NA
"emiss","CanESM2","emiss_carbon_penaltyQ10",3.75666229787356,1.53683899326026,0.901536574613532,0.0954655934628989,0,0.834568132157524,284.834085127339,1.76760209918929,0.166675555555556
"emiss","CanESM2","emiss_carbon_penaltyQ10",4.41992187270629,1.31574026068417,0.399482346805963,0.128772504469215,0,0.820878304759256,287.0025912839,1.74946172491717,0.333341111111111
"emiss","CanESM2","emiss_carbon_penaltyQ10",4.716782648159,1.10495251753415,0.419123976114725,0.175376373528226,0,0.841538374320989,290.139899428494,1.7685917836696,0.500006666666667
"emiss","CanESM2","emiss_carbon_penaltyQ10",5.18902369803254,1.047690910174,0.439495876974011,0.231002701129575,0,0.843852354504411,292.148829584049,1.7774770361678,0.666672222222222
"emiss","CanESM2","emiss_carbon_penaltyQ10",5.63486583923365,0.997179873710892,0.453650770872479,0.289840879851133,0,0.799858160073477,294.214646771731,1.78471404405197,0.833337777777778
"emiss","CanESM2","emiss_carbon_penaltyQ10",6.43746157861163,0.924070165704792,0.477933669015924,0.40564451237059,0,0.758179395009327,297.380402814135,1.78555021398301,1.16666888888889
"emiss","CanESM2","emiss_carbon_penaltyQ10",7.09212172101305,0.925605313604548,0.490566799377129,0.459714901436313,0,0.763495934500331,298.551046877603,1.79108148833286,1.33333444444444
"emiss","CanESM2","emiss_carbon_penaltyQ10",7.2778617326949,0.839448098986731,0.492629386056577,0.511246673451848,0,0.716551439544542,299.327732735599,1.79815040501669,1.5
"emiss","CanESM2","emiss_carbon_penaltyQ10",6.04407549128652,0.988765830353048,0.463555587919716,0.348958798573836,0,0.720035286799453,296.257428962811,1.7792492974635,1.00000333333333
"emiss","CanESM2","emiss_carbon_penaltyQ10",3.43295602230008,1.97387704507215,0.899292749048502,0.103332494345933,0,0.915586999900995,283.87032493424,1.72921311052919,1e-05
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",2.72719972482702,-1.31565717446687,0.784124655187486,0.260332831258575,0,6.04117964433654,282.061223881168,1.77043254999447,0.166675555555556
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",3.17088367818755,-1.13812848462938,1.17050977832401,0.312658555649278,0,5.53222083108889,288.269571190364,1.77969640314581,0.333341111111111
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",3.62251482799447,-1.14652102850066,0.62280303082253,0.393353554083665,0,4.93147607553074,291.351542777144,1.77616485728201,0.500006666666667
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",4.00400428978218,-1.10272871764524,0.796255667132788,0.467758812933487,0,5.00645842687893,294.452567031366,1.79933490065662,0.666672222222222
"emiss","CESM1-BGC","emiss_carbon_penaltyQ10",4.5421696910648,-0.94423965124993,1.26553844957824,0.544449711483957,0,4.52255349244986,297.22398325265,1.81051939445722,0.833337777777778
