"year","variable","ensemble","model","experiment","value","problem"
1857,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.489448398351669,NA
1858,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.630253573258718,NA
1859,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.47745672861735,NA
1860,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.830749183893204,NA
1861,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.38618431488673,NA
1862,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.949735720952352,NA
1863,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.00292205810546875,NA
1864,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.762745281060537,NA
1865,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.416076302528381,NA
1866,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.924591839313507,NA
1867,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.764314254124959,NA
1868,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.631834030151367,NA
1869,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.503483672936757,NA
1870,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.736137906710307,NA
1871,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.682006537914276,NA
1872,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.901953687270482,NA
1873,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.735118349393209,NA
1874,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.608654677867889,NA
1875,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.713971972465515,NA
1876,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.148113658030828,NA
1877,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.02101842562358,NA
1878,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.674271941184998,NA
1879,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.800340900818507,NA
1880,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.728126466274261,NA
1881,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.07918081680934,NA
1882,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.768139739831289,NA
1883,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.983681698640188,NA
1884,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-1.96264799435933,NA
1885,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.112471292416255,NA
1886,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.69685405492783,NA
1887,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.750658869743347,NA
1888,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.15860601266225,NA
1889,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.843588451544444,NA
1890,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-1.16279741128286,NA
1891,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.248860359191895,NA
1892,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.26352590322495,NA
1893,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.52281026045481,NA
1894,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.25270585219065,NA
1895,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.32781073451042,NA
1896,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.815428386131922,NA
1897,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.09773560365041,NA
1898,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.03178568681081,NA
1899,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.589041650295258,NA
1900,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.989414403835932,NA
1901,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.14105260868867,NA
1902,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.0838375091552734,NA
1903,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-1.91729696591695,NA
1904,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.269042472044627,NA
1905,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.25416757663091,NA
1906,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.27627725402514,NA
1907,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.4362327704827,NA
1908,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.24231592814128,NA
1909,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.23586382468541,NA
1910,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.16307274500529,NA
1911,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.979640622933706,NA
1912,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.42690255244573,NA
1913,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.405878788481156,NA
1914,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.963749011357625,NA
1915,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.49556400378545,NA
1916,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.763215879599253,NA
1917,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.763759831587474,NA
1918,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.972865482171377,NA
1919,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.954347908496857,NA
1920,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.955007970333099,NA
1921,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.251339475313822,NA
1922,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.357536494731903,NA
1923,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.976113617420197,NA
1924,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.913832624753316,NA
