"year","variable","ensemble","model","experiment","value","unit"
1865,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.416076302528381,"W/m2"
1866,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.924591839313507,"W/m2"
1867,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.764314254124959,"W/m2"
1868,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.631834030151367,"W/m2"
1869,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.503483672936757,"W/m2"
1870,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.736137906710307,"W/m2"
1871,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.682006537914276,"W/m2"
1872,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.901953687270482,"W/m2"
1873,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.735118349393209,"W/m2"
1874,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.608654677867889,"W/m2"
1875,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.713971972465515,"W/m2"
1876,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.148113658030828,"W/m2"
1877,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.02101842562358,"W/m2"
1878,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.674271941184998,"W/m2"
1879,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.800340900818507,"W/m2"
1880,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.728126466274261,"W/m2"
1881,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.07918081680934,"W/m2"
1882,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.768139739831289,"W/m2"
1883,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.983681698640188,"W/m2"
1884,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-1.96264799435933,"W/m2"
1885,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.112471292416255,"W/m2"
1886,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.69685405492783,"W/m2"
1887,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.750658869743347,"W/m2"
1888,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.15860601266225,"W/m2"
1889,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.843588451544444,"W/m2"
1890,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-1.16279741128286,"W/m2"
1891,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.248860359191895,"W/m2"
1892,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.26352590322495,"W/m2"
1893,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.52281026045481,"W/m2"
1894,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.25270585219065,"W/m2"
1895,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.32781073451042,"W/m2"
1896,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.815428386131922,"W/m2"
1897,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.09773560365041,"W/m2"
1898,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.03178568681081,"W/m2"
1899,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.589041650295258,"W/m2"
1900,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.989414403835932,"W/m2"
1901,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.14105260868867,"W/m2"
1902,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.0838375091552734,"W/m2"
1903,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-1.91729696591695,"W/m2"
1904,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.269042472044627,"W/m2"
1905,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.25416757663091,"W/m2"
1906,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.27627725402514,"W/m2"
1907,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.4362327704827,"W/m2"
1908,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.24231592814128,"W/m2"
1909,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.23586382468541,"W/m2"
1910,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.16307274500529,"W/m2"
1911,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.979640622933706,"W/m2"
1912,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.42690255244573,"W/m2"
1913,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.405878788481156,"W/m2"
1914,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.963749011357625,"W/m2"
1915,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.49556400378545,"W/m2"
1916,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.763215879599253,"W/m2"
1917,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.763759831587474,"W/m2"
1918,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.972865482171377,"W/m2"
1919,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.954347908496857,"W/m2"
1920,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.955007970333099,"W/m2"
1921,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.251339475313822,"W/m2"
1922,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.357536494731903,"W/m2"
1923,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.976113617420197,"W/m2"
1924,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.913832624753316,"W/m2"
1925,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.816405961910884,"W/m2"
1926,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.12676554918289,"W/m2"
1927,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.900594472885132,"W/m2"
1928,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.375723838806152,"W/m2"
1929,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.370396216710409,"W/m2"
1930,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.842964192231496,"W/m2"
1931,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.930738310019175,"W/m2"
1932,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.478383173545202,"W/m2"
1933,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.767200628916422,"W/m2"
1934,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.07563799619675,"W/m2"
1935,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.24941162268321,"W/m2"
1936,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.817550619443258,"W/m2"
1937,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.01680900218586,"W/m2"
1938,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.972663720448812,"W/m2"
1939,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.81451423962911,"W/m2"
1940,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.323054512341817,"W/m2"
1941,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.45433604717255,"W/m2"
1942,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.13532868524392,"W/m2"
1943,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.875140448411306,"W/m2"
1944,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.15270431836446,"W/m2"
1945,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.806089123090108,"W/m2"
1946,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.04805203278859,"W/m2"
1947,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.93666527668635,"W/m2"
1948,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.861078480879466,"W/m2"
1949,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.1679360071818,"W/m2"
1950,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.609826544920603,"W/m2"
1951,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.673712452252706,"W/m2"
1952,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.883647918701172,"W/m2"
1953,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.997812330722809,"W/m2"
1954,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.65801419814428,"W/m2"
1955,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.749453544616699,"W/m2"
1956,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.60657767454783,"W/m2"
1957,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.41273991266886,"W/m2"
1958,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.830387651920319,"W/m2"
1959,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.769519746303558,"W/m2"
1960,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.918025622765223,"W/m2"
1961,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.957230746746063,"W/m2"
1962,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.00747221708298,"W/m2"
1963,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.921608209609985,"W/m2"
1964,"heatflux","r1i1p1","BNU-ESM","esmHistorical",-0.139383176962535,"W/m2"
1965,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.952584942181905,"W/m2"
1966,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.35405669609706,"W/m2"
1967,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.4003711938858,"W/m2"
1968,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.08704175551732,"W/m2"
1969,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.3671282256643,"W/m2"
1970,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.952559153238932,"W/m2"
1971,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.30202585458755,"W/m2"
1972,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.27556520700455,"W/m2"
1973,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.25128330787023,"W/m2"
1974,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.12884192665418,"W/m2"
1975,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.539939443270365,"W/m2"
1976,"heatflux","r1i1p1","BNU-ESM","esmHistorical",0.896026055018107,"W/m2"
1977,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.11067532499631,"W/m2"
1978,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.14959957698981,"W/m2"
1979,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.30948952833811,"W/m2"
1980,"heatflux","r1i1p1","BNU-ESM","esmHistorical",1.43786100546519,"W/m2"
